station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Extremadura-Alange,rh,Extremadura,1866-07-01,1868-09-30,823,2.25,184,2,2,639,1866-07-01..1866-09-30; 1868-07-01..1868-09-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18660701-18660930_rh_subdaily.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18680701-18680930_rh_subdaily_qc.tsv
Extremadura-Alange,ta,Extremadura,1866-07-01,1893-09-30,9954,27.25,4392,4,4,3196,1866-07-01..1866-09-30; 1868-07-01..1868-09-30; 1877-07-02..1877-09-30; 1882-06-24..1893-09-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18660701-18660930_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18680701-18680930_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18770702-18770930_ta_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18820624-18930930_ta_subdaily_qc.tsv
Extremadura-Badajoz,dd,Extremadura,1830-02-01,1889-07-09,21709,59.44,4441,2,2,17268,1830-02-01..1833-07-15; 1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18300201-18330715_dd_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18801025-18890709_dd_daily_qc.tsv
Extremadura-Badajoz,p,Extremadura,1830-02-01,1889-07-09,21709,59.44,4441,2,2,17268,1830-02-01..1833-07-15; 1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18300201-18330715_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18801025-18890709_p_daily_qc.tsv
Extremadura-Badajoz,ta,Extremadura,1830-02-01,1889-07-09,21709,59.44,4441,2,2,17268,1830-02-01..1833-07-15; 1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18300201-18330715_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Badajoz_18801025-18890709_ta_daily_qc.tsv
Extremadura-Baños_de_Montemayor,ta,Extremadura,1883-06-01,1887-09-30,1583,4.33,1583,1,1,0,1883-06-01..1887-09-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Baños_de_Montemayor_18830601-18870930_ta_subdaily_qc.tsv
Extremadura-Cabeza_la_Vaca,Tn,Extremadura,1882-01-06,1883-12-31,725,1.98,725,1,1,0,1882-01-06..1883-12-31,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Cabeza_la_Vaca_18820106-18831231_Tn_daily_qc.tsv
Extremadura-Cabeza_la_Vaca,Tx,Extremadura,1882-01-06,1883-12-31,725,1.98,725,1,1,0,1882-01-06..1883-12-31,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Cabeza_la_Vaca_18820106-18831231_Tx_daily_qc.tsv
Extremadura-Cabeza_la_Vaca,dd,Extremadura,1882-01-06,1883-12-31,725,1.98,725,1,1,0,1882-01-06..1883-12-31,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Cabeza_la_Vaca_18820106-18831231_dd_subdaily_qc.tsv
Extremadura-Cabeza_la_Vaca,p,Extremadura,1882-01-06,1883-12-31,725,1.98,725,1,1,0,1882-01-06..1883-12-31,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Cabeza_la_Vaca_18820106-18831231_p_subdaily_qc.tsv
Extremadura-Cabeza_la_Vaca,rr,Extremadura,1882-01-06,1883-12-31,725,1.98,725,1,1,0,1882-01-06..1883-12-31,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Cabeza_la_Vaca_18820106-18831231_rr_daily_qc.tsv
Extremadura-Caceres,dd,Extremadura,1880-10-25,1889-07-09,3180,8.71,3180,1,1,0,1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Caceres_18801025-18890709_dd_daily_qc.tsv
Extremadura-Caceres,p,Extremadura,1880-10-25,1889-07-09,3180,8.71,3180,1,1,0,1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Caceres_18801025-18890709_p_daily_qc.tsv
Extremadura-Caceres,ta,Extremadura,1880-10-25,1889-07-09,3180,8.71,3180,1,1,0,1880-10-25..1889-07-09,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Caceres_18801025-18890709_ta_daily_qc.tsv
