station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
MEDARE_TiziOuzou_60395,p,TiziOuzou,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/TiziOuzou/MEDARE_TiziOuzou_60395_18790101-19381231_p_daily.tsv
MEDARE_Tunis,rr,Tunis,1886-01-01,1938-12-31,19357,53.00,19357,1,1,0,1886-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Tunis/MEDARE_Tunis_18860101-19381231_rr_daily.tsv
METNO,p,Aalesund,1864-01-01,1866-12-30,1095,3.00,1095,1,1,0,1864-01-01..1866-12-30,/scratch3/PALAEO-RA/daily_data/final/Aalesund/METNO_18640101-18661230_p_subdaily.tsv
METNO_Aas,p,Aas,1885-01-01,1966-12-31,29949,82.00,29949,1,1,0,1885-01-01..1966-12-31,/scratch3/PALAEO-RA/daily_data/final/Aas/METNO_Aas_18850101-19661231_p_subdaily.tsv
METNO_Tromso,p,Tromso,1875-09-01,1926-12-30,18748,51.33,18748,1,1,0,1875-09-01..1926-12-30,/scratch3/PALAEO-RA/daily_data/final/Tromso/METNO_Tromso_18750901-19261230_p_subdaily.tsv
METNO_Trondheim,p,Trondheim,1870-06-01,1927-03-30,20756,56.83,20756,1,1,0,1870-06-01..1927-03-30,/scratch3/PALAEO-RA/daily_data/final/Trondheim/METNO_Trondheim_18700601-19270330_p_subdaily.tsv
METNO_Vardøradio,p,Vardo,1867-07-01,1966-12-31,36343,99.50,36343,1,1,0,1867-07-01..1966-12-31,/scratch3/PALAEO-RA/daily_data/final/Vardo/METNO_Vardøradio_18670701-19661231_p_subdaily.tsv
MIDAS_Eastbourne,p,Eastbourne,1887-07-01,1910-12-31,8584,23.50,8584,1,1,0,1887-07-01..1910-12-31,/scratch3/PALAEO-RA/daily_data/final/Eastbourne/MIDAS_Eastbourne_18870701-19101231_p_subdaily.tsv
MIDAS_Sheffield,p,Sheffield,1882-12-01,1935-12-31,19388,53.08,19388,2,1,0,1882-12-01..1935-12-31,/scratch3/PALAEO-RA/daily_data/final/Sheffield/MIDAS_Sheffield_18821201-19180630_p_subdaily.tsv|/scratch3/PALAEO-RA/daily_data/final/Sheffield/MIDAS_Sheffield_18821201-19351231_p_subdaily.tsv
MIDAS_Stonyhurst,p,Stonyhurst,1884-01-01,1958-10-31,27332,74.83,27332,1,1,0,1884-01-01..1958-10-31,/scratch3/PALAEO-RA/daily_data/final/Stonyhurst/MIDAS_Stonyhurst_18840101-19581031_p_subdaily.tsv
MIDAS_Woburn,p,Woburn,1898-09-01,1930-12-31,11809,32.33,11809,1,1,0,1898-09-01..1930-12-31,/scratch3/PALAEO-RA/daily_data/final/Woburn/MIDAS_Woburn_18980901-19301231_p_subdaily.tsv
Marseille,p,Marseille,1709-01-05,1709-01-23,19,0.05,19,1,1,0,1709-01-05..1709-01-23,/scratch3/PALAEO-RA/daily_data/final/Marseille/Marseille_17090105-17090123_p_daily.tsv
Marseille,ta,Marseille,1709-01-05,1709-01-23,19,0.05,19,1,1,0,1709-01-05..1709-01-23,/scratch3/PALAEO-RA/daily_data/final/Marseille/Marseille_17090105-17090123_ta_daily.tsv
Maugeri-et-al_Milan,Tn,Milan,1763-01-01,1949-12-31,68300,187.00,68300,1,1,0,1763-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_Tn_daily_qc.tsv
Maugeri-et-al_Milan,Tx,Milan,1763-01-01,1949-12-31,68300,187.00,68300,1,1,0,1763-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_Tx_daily_qc.tsv
Maugeri-et-al_Milan,p,Milan,1763-01-01,1949-12-31,68300,187.00,68300,1,1,0,1763-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_p_daily_qc.tsv
Maugeri-et-al_Milan,ta,Milan,1763-01-01,1949-12-31,68300,187.00,68300,1,1,0,1763-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_ta_daily_qc.tsv
MetOffice_CET,ta,Central-England-Temperature,1772-01-01,2025-09-14,92664,253.71,92664,1,1,0,1772-01-01..2025-09-14,/scratch3/PALAEO-RA/daily_data/final/Central-England-Temperature/MetOffice_CET_17720101-20250914_ta_daily_qc.tsv
MeteoFrance_Vendome,p,Vendome,1851-01-01,1876-11-30,9466,25.92,9466,2,1,0,1851-01-01..1876-11-30,/scratch3/PALAEO-RA/daily_data/final/Vendome/MeteoFrance_Vendome_18510101-18591031_p_subdaily.tsv|/scratch3/PALAEO-RA/daily_data/final/Vendome/MeteoFrance_Vendome_18560701-18761130_p_subdaily.tsv
MeteoFrance_Verdun,p,Verdun,1864-12-01,1869-11-30,1826,5.00,1826,1,1,0,1864-12-01..1869-11-30,/scratch3/PALAEO-RA/daily_data/final/Verdun/MeteoFrance_Verdun_18641201-18691130_p_subdaily.tsv
MeteoFrance_Versailles,p,Versailles,1846-09-01,1933-04-09,31632,86.61,31632,2,1,0,1846-09-01..1933-04-09,/scratch3/PALAEO-RA/daily_data/final/Versailles/MeteoFrance_Versailles_18460901-18730910_p_subdaily.tsv|/scratch3/PALAEO-RA/daily_data/final/Versailles/MeteoFrance_Versailles_18650801-19330409_p_subdaily.tsv
PALAEO-RA_Andechs,dd,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,1,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17810101-17921231_dd_subdaily_qc.tsv
PALAEO-RA_Andechs,p,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,2,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17810101-17921231_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17870101-17881231_p_daily_qc.tsv
PALAEO-RA_Andechs,ta,Andechs,1781-02-13,1792-12-31,4340,11.88,4340,2,1,0,1781-02-13..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17810213-17921231_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17870101-17881231_ta_daily_qc.tsv
PALAEO-RA_Andechs,w,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,1,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/PALAEO-RA_Andechs_17810101-17921231_w_subdaily.tsv
PALAEO-RA_Augsburg,p,Augsburg,1813-01-01,1817-12-31,1826,5.00,1826,1,1,0,1813-01-01..1817-12-31,/scratch3/PALAEO-RA/daily_data/final/Augsburg/PALAEO-RA_Augsburg_18130101-18171231_p_subdaily_qc.tsv
PALAEO-RA_Augsburg,ta,Augsburg,1813-01-01,1817-12-31,1826,5.00,1826,1,1,0,1813-01-01..1817-12-31,/scratch3/PALAEO-RA/daily_data/final/Augsburg/PALAEO-RA_Augsburg_18130101-18171231_ta_subdaily_qc.tsv
PALAEO-RA_Baghdad,dd,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/PALAEO-RA_Baghdad_17821213-17840120_dd_subdaily_qc.tsv
PALAEO-RA_Baghdad,p,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/PALAEO-RA_Baghdad_17821213-17840120_p_subdaily_qc.tsv
PALAEO-RA_Baghdad,ta,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/PALAEO-RA_Baghdad_17821213-17840120_ta_subdaily_qc.tsv
PALAEO-RA_Bassora,dd,Bassora,1784-02-17,1784-06-30,135,0.37,135,1,1,0,1784-02-17..1784-06-30,/scratch3/PALAEO-RA/daily_data/final/Bassora/PALAEO-RA_Bassora_17840217-17840630_dd_subdaily_qc.tsv
PALAEO-RA_Bassora,p,Bassora,1784-02-17,1784-06-30,135,0.37,135,1,1,0,1784-02-17..1784-06-30,/scratch3/PALAEO-RA/daily_data/final/Bassora/PALAEO-RA_Bassora_17840217-17840630_p_subdaily_qc.tsv
PALAEO-RA_Bassora,ta,Bassora,1784-02-17,1784-06-30,135,0.37,135,1,1,0,1784-02-17..1784-06-30,/scratch3/PALAEO-RA/daily_data/final/Bassora/PALAEO-RA_Bassora_17840217-17840630_ta_subdaily_qc.tsv
PALAEO-RA_Bergen,dd,Bergen,1741-09-01,1746-05-31,1734,4.75,1734,1,1,0,1741-09-01..1746-05-31,/scratch3/PALAEO-RA/daily_data/final/Bergen/PALAEO-RA_Bergen_17410901-17460531_dd_subdaily_qc.tsv
PALAEO-RA_Bergen,rr,Bergen,1741-09-04,1746-05-18,1718,4.70,1718,1,1,0,1741-09-04..1746-05-18,/scratch3/PALAEO-RA/daily_data/final/Bergen/PALAEO-RA_Bergen_17410904-17460518_rr_subdaily_qc.tsv
PALAEO-RA_Bergen,ta,Bergen,1741-09-01,1746-05-31,1734,4.75,1734,1,1,0,1741-09-01..1746-05-31,/scratch3/PALAEO-RA/daily_data/final/Bergen/PALAEO-RA_Bergen_17410901-17460531_ta_subdaily_qc.tsv
PALAEO-RA_Berlin,p,Berlin,1721-01-23,1774-04-30,19456,53.27,19456,1,1,0,1721-01-23..1774-04-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_17210123-17740430_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Achard,p,Berlin,1788-01-01,1788-12-31,366,1.00,366,1,1,0,1788-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Achard_17880101-17881231_p_daily_qc.tsv
PALAEO-RA_Berlin_Achard,ta,Berlin,1788-01-01,1788-12-31,366,1.00,366,1,1,0,1788-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Achard_17880101-17881231_ta_daily_qc.tsv
PALAEO-RA_Berlin_Beguelin-Achard,dd,Berlin,1781-07-01,1788-12-31,2741,7.50,2741,1,1,0,1781-07-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Beguelin-Achard_17810701-17881231_dd_subdaily_qc.tsv
PALAEO-RA_Berlin_Beguelin-Achard,p,Berlin,1781-07-01,1786-12-31,2010,5.50,2010,1,1,0,1781-07-01..1786-12-31,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Beguelin-Achard_17810701-17861231_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Beguelin-Achard,ta,Berlin,1781-07-01,1786-12-31,2010,5.50,2010,1,1,0,1781-07-01..1786-12-31,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Beguelin-Achard_17810701-17861231_ta_subdaily_qc.tsv
PALAEO-RA_Berlin_Gronau,dd,Berlin,1775-01-01,1808-06-30,12234,33.50,12234,1,1,0,1775-01-01..1808-06-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Gronau_17750101-18080630_dd_subdaily_qc.tsv
PALAEO-RA_Berlin_Gronau,p,Berlin,1775-01-01,1808-06-30,12234,33.50,12234,1,1,0,1775-01-01..1808-06-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Gronau_17750101-18080630_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Gronau,ta,Berlin,1775-01-01,1808-06-30,12234,33.50,12234,1,1,0,1775-01-01..1808-06-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Gronau_17750101-18080630_ta_subdaily_qc.tsv
