station_source,variable,year
Bolzern_Barcelona,ta,1823
Bolzern_Barcelona,ta,1824
Bolzern_Barcelona,ta,1825
Bolzern_Ylitornio,ta,1807
Bolzern_Ylitornio,ta_noon,1803
Bolzern_Ylitornio,ta_noon,1804
Bolzern_Ylitornio,ta_noon,1805
Bolzern_Ylitornio,ta_noon,1806
Bolzern_Ylitornio,ta_noon,1807
Bolzern_Ylitornio,ta_noon,1808
Bolzern_Ylitornio,ta_noon,1809
Bolzern_Ylitornio,ta_noon,1810
Bolzern_Ylitornio,ta_noon,1811
Bolzern_Ylitornio,ta_noon,1812
Bolzern_Ylitornio,ta_noon,1813
Bolzern_Ylitornio,ta_noon,1814
Bolzern_Ylitornio,ta_noon,1815
Bolzern_Ylitornio,ta_noon,1816
Bolzern_Ylitornio,ta_noon,1818
Bolzern_Ylitornio,ta_noon,1819
Bolzern_Ylitornio,ta_noon,1820
Bolzern_Ylitornio,ta_noon,1821
Bolzern_Ylitornio,ta_noon,1822
Boyle_Oxford,ta,1666
Boyle_Oxford,ta,1667
Boyle_Oxford,ta,1681
Boyle_Oxford,ta,1682
Boyle_Oxford,ta,1683
Brug_Zitenice,p,1801
Brug_Zitenice,p,1802
Brug_Zitenice,p,1803
Brug_Zitenice,p,1804
Brug_Zitenice,p,1805
Brug_Zitenice,p,1806
Brug_Zitenice,p,1807
Brug_Zitenice,p,1808
Brug_Zitenice,p,1809
Brug_Zitenice,p,1810
Brug_Zitenice,p,1811
Brug_Zitenice,p,1812
Brug_Zitenice,p,1813
Brug_Zitenice,p,1814
Brug_Zitenice,p,1815
Brug_Zitenice,p,1816
Brug_Zitenice,p,1817
Brug_Zitenice,p,1818
Brug_Zitenice,ta,1790
Brug_Zitenice,ta,1800
Brug_Zitenice,ta,1801
Brug_Zitenice,ta,1802
Brug_Zitenice,ta,1803
Brug_Zitenice,ta,1804
Brug_Zitenice,ta,1805
Brug_Zitenice,ta,1806
Brug_Zitenice,ta,1807
Brug_Zitenice,ta,1808
Brug_Zitenice,ta,1809
Brug_Zitenice,ta,1810
Brug_Zitenice,ta,1811
Brug_Zitenice,ta,1812
Brug_Zitenice,ta,1813
Brug_Zitenice,ta,1814
Brug_Zitenice,ta,1815
Brug_Zitenice,ta,1816
Brug_Zitenice,ta,1817
Brug_Zitenice,ta,1818
CHIMES_Aarau_Bronner,p,1826
CHIMES_Aarau_Bronner,p,1827
CHIMES_Aarau_Bronner,p,1828
CHIMES_Aarau_Bronner,p,1829
CHIMES_Aarau_Bronner,p,1830
CHIMES_Aarau_Bronner,ta,1826
CHIMES_Aarau_Bronner,ta,1827
CHIMES_Aarau_Bronner,ta,1828
CHIMES_Aarau_Bronner,ta,1829
CHIMES_Aarau_Bronner,ta,1830
CHIMES_Aarau_Zschogge,p,1807
CHIMES_Aarau_Zschogge,p,1808
CHIMES_Aarau_Zschogge,p,1809
CHIMES_Aarau_Zschogge,p,1810
CHIMES_Aarau_Zschogge,p,1811
CHIMES_Aarau_Zschogge,p,1812
CHIMES_Aarau_Zschogge,p,1813
CHIMES_Aarau_Zschogge,p,1814
CHIMES_Aarau_Zschogge,p,1815
CHIMES_Aarau_Zschogge,p,1816
CHIMES_Aarau_Zschogge,p,1817
CHIMES_Aarau_Zschogge,p,1818
CHIMES_Aarau_Zschogge,p,1819
CHIMES_Aarau_Zschogge,p,1820
CHIMES_Aarau_Zschogge,p,1821
CHIMES_Aarau_Zschogge,p,1822
CHIMES_Aarau_Zschogge,p,1823
CHIMES_Aarau_Zschogge,p,1824
CHIMES_Aarau_Zschogge,p,1825
CHIMES_Aarau_Zschogge,p,1826
CHIMES_Aarau_Zschogge,p,1827
CHIMES_Aarau_Zschogge,p,1828
CHIMES_Aarau_Zschogge,p,1829
CHIMES_Aarau_Zschogge,p,1830
CHIMES_Aarau_Zschogge,p,1831
CHIMES_Aarau_Zschogge,p,1832
CHIMES_Aarau_Zschogge,p,1833
CHIMES_Aarau_Zschogge,p,1834
CHIMES_Aarau_Zschogge,p,1835
CHIMES_Aarau_Zschogge,p,1836
CHIMES_Aarau_Zschogge,p,1837
CHIMES_Aarau_Zschogge,p,1838
CHIMES_Aarau_Zschogge,p,1839
CHIMES_Aarau_Zschogge,p,1840
CHIMES_Aarau_Zschogge,p,1841
CHIMES_Aarau_Zschogge,p,1842
CHIMES_Aarau_Zschogge,p,1843
CHIMES_Aarau_Zschogge,p,1844
CHIMES_Aarau_Zschogge,p,1845
CHIMES_Aarau_Zschogge,p,1846
CHIMES_Aarau_Zschogge,p,1847
CHIMES_Aarau_Zschogge,p,1848
CHIMES_Aarau_Zschogge,p,1849
CHIMES_Aarau_Zschogge,p,1850
CHIMES_Aarau_Zschogge,p,1851
CHIMES_Aarau_Zschogge,p,1852
CHIMES_Aarau_Zschogge,p,1853
CHIMES_Aarau_Zschogge,p,1854
CHIMES_Aarau_Zschogge,p,1855
CHIMES_Aarau_Zschogge,p,1856
CHIMES_Aarau_Zschogge,p,1857
CHIMES_Aarau_Zschogge,p,1858
CHIMES_Aarau_Zschogge,p,1859
CHIMES_Aarau_Zschogge,p,1860
CHIMES_Aarau_Zschogge,p,1861
CHIMES_Aarau_Zschogge,p,1862
CHIMES_Aarau_Zschogge,p,1863
CHIMES_Aarau_Zschogge,p,1864
CHIMES_Aarau_Zschogge,p,1865
CHIMES_Aarau_Zschogge,rr,1857
CHIMES_Aarau_Zschogge,rr,1858
CHIMES_Aarau_Zschogge,rr,1859
CHIMES_Aarau_Zschogge,rr,1860
CHIMES_Aarau_Zschogge,rr,1861
CHIMES_Aarau_Zschogge,rr,1862
CHIMES_Aarau_Zschogge,rr,1863
CHIMES_Aarau_Zschogge,rr,1864
CHIMES_Aarau_Zschogge,rr,1865
CHIMES_Aarau_Zschogge,ta,1807
CHIMES_Aarau_Zschogge,ta,1808
CHIMES_Aarau_Zschogge,ta,1809
CHIMES_Aarau_Zschogge,ta,1810
CHIMES_Aarau_Zschogge,ta,1811
CHIMES_Aarau_Zschogge,ta,1812
CHIMES_Aarau_Zschogge,ta,1813
CHIMES_Aarau_Zschogge,ta,1814
CHIMES_Aarau_Zschogge,ta,1815
CHIMES_Aarau_Zschogge,ta,1816
CHIMES_Aarau_Zschogge,ta,1817
CHIMES_Aarau_Zschogge,ta,1818
CHIMES_Aarau_Zschogge,ta,1819
CHIMES_Aarau_Zschogge,ta,1820
CHIMES_Aarau_Zschogge,ta,1821
CHIMES_Aarau_Zschogge,ta,1822
CHIMES_Aarau_Zschogge,ta,1823
CHIMES_Aarau_Zschogge,ta,1824
CHIMES_Aarau_Zschogge,ta,1825
CHIMES_Aarau_Zschogge,ta,1826
CHIMES_Aarau_Zschogge,ta,1827
CHIMES_Aarau_Zschogge,ta,1828
CHIMES_Aarau_Zschogge,ta,1829
CHIMES_Aarau_Zschogge,ta,1830
CHIMES_Aarau_Zschogge,ta,1831
CHIMES_Aarau_Zschogge,ta,1832
CHIMES_Aarau_Zschogge,ta,1833
CHIMES_Aarau_Zschogge,ta,1834
CHIMES_Aarau_Zschogge,ta,1835
CHIMES_Aarau_Zschogge,ta,1836
CHIMES_Aarau_Zschogge,ta,1837
CHIMES_Aarau_Zschogge,ta,1838
CHIMES_Aarau_Zschogge,ta,1839
CHIMES_Aarau_Zschogge,ta,1840
CHIMES_Aarau_Zschogge,ta,1841
CHIMES_Aarau_Zschogge,ta,1842
CHIMES_Aarau_Zschogge,ta,1843
CHIMES_Aarau_Zschogge,ta,1844
CHIMES_Aarau_Zschogge,ta,1845
CHIMES_Aarau_Zschogge,ta,1846
CHIMES_Aarau_Zschogge,ta,1847
CHIMES_Aarau_Zschogge,ta,1848
CHIMES_Aarau_Zschogge,ta,1849
CHIMES_Aarau_Zschogge,ta,1850
CHIMES_Aarau_Zschogge,ta,1851
CHIMES_Aarau_Zschogge,ta,1852
CHIMES_Aarau_Zschogge,ta,1853
CHIMES_Aarau_Zschogge,ta,1854
CHIMES_Aarau_Zschogge,ta,1855
CHIMES_Aarau_Zschogge,ta,1856
CHIMES_Aarau_Zschogge,ta,1857
CHIMES_Aarau_Zschogge,ta,1858
CHIMES_Aarau_Zschogge,ta,1859
CHIMES_Aarau_Zschogge,ta,1860
CHIMES_Aarau_Zschogge,ta,1861
CHIMES_Aarau_Zschogge,ta,1862
CHIMES_Aarau_Zschogge,ta,1863
CHIMES_Aarau_Zschogge,ta,1864
CHIMES_Aarau_Zschogge,ta,1865
CHIMES_Beatenberg,p,1860
CHIMES_Beatenberg,p,1861
CHIMES_Beatenberg,p,1862
CHIMES_Beatenberg,p,1863
CHIMES_Beatenberg,ta,1860
CHIMES_Beatenberg,ta,1861
CHIMES_Beatenberg,ta,1862
CHIMES_Beatenberg,ta,1863
CHIMES_Bellinzona,p,1826
CHIMES_Bellinzona,p,1827
CHIMES_Bellinzona,p,1828
CHIMES_Bellinzona,p,1829
CHIMES_Bellinzona,p,1830
CHIMES_Bellinzona,p,1831
CHIMES_Bellinzona,p,1832
CHIMES_Bellinzona,ta,1826
